Unnamed: 0,№,Title,Artist(s),lyrics,genres
24,25,"""Who Will Save Your Soul""",Jewel,"17 ContributorsWho Will Save Your Soul Lyrics
People livin' their lives for you on TV
They say they're better than you and you agree
He says, ""Hold my calls from behind those cold brick walls""
Says, ""Come here boys, there ain't nothing for free""
Another doctor's bill, a lawyer's bill, another cute cheap thrill
You know you love him if you put him in your will, but

Who will save your souls when it comes to the flowers now?
Who, who will save your souls after those lies that you told, boy?
And who will save your souls if you won't save your own?
La dee-dee-da, dee-da, dee-da-da, da-la-da

We try to hustle them, try to bustle them, try to cuss 'em
And the cops want someone to bust down on Orleans Avenue
Another day, another dollar, another war
Another tower went up where the homeless had their homes
So we pray to as many different Gods as there are flowers
But we call religion our friend
We're so worried about saving our souls
Afraid that God will take His toll that we forget to begin, but

Who will save your soul when it comes to the babies now?
Who, who will save your soul after all those lies that you told, boy?
And who will save your soul if you won't save your own?
La dee-dee-da, dee-da, dee-da-da, da-la-da

Some are walking, some are talking, some are stalking their kill
Got social security but it doesn't pay your bills
There are addictions to feed and there are mouths to pay
So you bargain with the Devil, but you're okay for today, say
That you love them, take their money and run
Say it's been swell, sweetheart, but it was just one of those things
Those flings, those strings you've got to cut
So get out on the streets, girls, and bust your butts

Who will save-ave your soul when it comes to the babies?
Oh, who will save your souls after those lies that you told, boy?
And who will save-ave your souls if you won't save your own?","female vocalists, pop, folk, singer-songwriter, rock"
25,26,"""Where Do You Go""",No Mercy,"15 ContributorsWhere Do You Go Lyrics
Where do you go, my lovely?
Where do you go?
I wanna know, my lovely
I wanna know
Where do you go? (Oh, oh, ay-oh)
I wanna know (Oh, oh, ay-oh)
Where do you go?
(Oh-oh-oh, oh-ay, oh-oh-oh, oh-ay, oh-oh-oh, oh-ay-oh)
I wanna know...

You leave without a word, no message, no number
And now my head is pounding like rolling thunder
You left me with a heartache deep inside
Girl, you should see me cry all night, and I wonder
Everybody says, what a shame, what is wrong
They don't like the game we play
Heard you're hanging round every night until dawn
I'm waiting for you night and day

Where do you go, my lovely
Where do you go
I wanna know, my lovely, I wanna know

Where do you go, oh oh eh oh
I wanna know, oh oh eh oh
Where do you go, oh oh eh oh...
I wanna know...

You gotta break the silence, don't keep me waiting
Just like a river flowing to the sea
You're running back to me
Girl hear what I am saying
Come back and save me

Where do you go, my lovely?
I wanna know
Where do you go?
(Oh-oh-oh, oh-ay, oh-oh-oh, oh-ay, oh-oh-oh, oh-ay-oh)
Where do you go?
(Oh-oh-oh, oh-ay, oh-oh-oh, oh-ay, oh-oh-oh, oh-ay-oh)
I wanna know
Na, na-na-na-na nida, na-na nida, da-da-da dee da-da
Na, na-na-na-na nida, na-na nida, da-da-da dee da-da
Where do you, where do you go?
Save me

Come back and dry the tears, I cried for you, baby
You've gotta stop this heartache deep inside
You've gotta help me make it through the night safely
Come back and save me

Where do you go, my lovely?
Where do you go?
I wanna know, my lovely
I wanna know
Where do you go, my lovely?
Where do you go?
I wanna know
Na, na-na-na-na nida, na-na nida, da-da-da dee da-da
Na, na-na-na-na nida, na-na nida, da-da-da dee da-da
Where do you, where do you go?","thrash metal, pop, dance, crossover, 90s"
26,27,"""I Can't Sleep Baby (If I)""",R. Kelly,"8 ContributorsI Can’t Sleep Baby (If I) LyricsR. Kelly is having restless nights because he regrets breaking up with a girl that he still loves. Now he’s begging to give their relationship another chance.
Girl I must have been crazy to say that it was over
I had to be a fool to yell out we were through
And now I'm all alone and feeling down and out baby
When I never meant for this to end
It was so, so crazy of me
Sometimes we say things that we really don't mean
Well I'm sorry baby
Bring your loving back to me

I can't sleep babe
I can't think babe
I can't live babe
Without you in my life
I can't go on babe
This is my song baby
Don't wanna do nothing if I, go away baby
And I can't do nothing if you're, not around

Though I must admit that things got out of hand
When you told me that he was just a friend
I should've had my trust in you
From the very start darling
Cause I never meant for this to end
How can we get it back again?
Oh sometimes a man can say things
That he really don't mean
Well I'm sorry baby
Bring your loving back to me

I can't sleep babe
I can't think babe
I can't live babe
Without you in my life
I can't go on babe
This is my song baby
Don't wanna do nothing if I, go away baby
And I can't do nothing if you're, not around

Baby, can we meet somewhere and talk about it?
Oh baby, can we work it out?
I'm not gonna let you go my baby
Before I let you know that

I can't sleep babe
I can't think babe
I can't live babe
Without you in my life
I can't go on babe
This is my song baby
Don't wanna do nothing if I, go away baby
And I can't do nothing if you're, not around","rnb, soul, Hip-Hop, rap, hip hop"
27,28,"""Counting Blue Cars""",Dishwalla,"22 ContributorsCounting Blue Cars LyricsThis mysterious song is about a man who is on a walk with his child. They get into a deep yet child-like conversation about God but in this case God is a woman. This was Dishwalla’s biggest hit on the album.
Must have been mid afternoon
I could tell by how far the child's shadow stretched out
And he walked with a purpose in his sneakers down the street
He had many questions, like children often do

He said, ""Tell me all your thoughts on God
Tell me am I very far?""

Must have been late afternoon
On our way, the sun broke free of the clouds
We count only blue cars, skip the cracks in the street
And ask many questions, like children often do

We said, ""Tell me all your thoughts on God""
'Cause I would really like to meet her
And ask her why we're who we are
Tell me all your thoughts on God
'Cause I am on my way to see her
So tell me, am I very far, am I very far now?

It's getting cold, picked up the pace
How our shoes make hard noises in this place
Our clothes are stained, we pass many cross-eyed people
And ask many questions, like children often do

Tell me all your thoughts on God
'Cause I would really like to meet her
And ask her why we're who we are
Tell me all your thoughts on God
'Cause I am on my way to see her
So tell me, am I very far?
Am I very far now? Am I very far now? Am I very far now?

(Tell me all your thoughts on God)
(Tell me all your thoughts on God)","alternative rock, rock, alternative, 90s, indie"
28,29,"""You Learn"" / ""You Oughta Know""",Alanis Morissette,,"female vocalists, rock, alternative, singer-songwriter, pop"
29,30,"""One of Us""",Joan Osborne,"42 ContributorsOne of Us Lyrics
So one of these nights and about twelve o'clock
This old world's gonna reel and rock
Saints will tremble and cry for pain
For the Lord's gonna come in his heavenly airplane


If God had a name, what would it be?
And would you call it to His face
If you were faced with Him in all His glory?
What would you ask if you had just one question?

And yeah, yeah, God is great
Yeah, yeah, God is good
Yeah, yeah, yeah, yeah, yeah

What if God was one of us
Just a slob like one of us
Just a stranger on the bus
Tryna make his way home?

If God had a face, what would it look like?
And would you want to see
If seeing meant that you would have to believe
In things like heaven and in Jesus and the saints
And all the prophets?

And yeah, yeah, God is great
Yeah, yeah, God is good
Yeah, yeah, yeah, yeah, yeah

What if God was one of us
Just a slob like one of us
Just a stranger on the bus
Tryna make his way home?

Just tryna make his way home
Back up to heaven all alone
Nobody callin' on the phone
'Cept for the Pope, maybe in Rome


Yeah, yeah, God is great
Yeah, yeah, God is good
Yeah, yeah, yeah, yeah, yeah

What if God was one of us
Just a slob like one of us
Just a stranger on the bus
Tryna make his way home
Just tryna make his way home
Like a holy rolling stone?
Back up to heaven all alone
Just tryna make his way home
Nobody callin' on the phone
'Cept for the Pope, maybe in Rome","female vocalists, rock, singer-songwriter, alternative, pop"
30,31,"""Wonder""",Natalie Merchant,"16 ContributorsWonder LyricsThis song, which reached No. 20 on the Billboard Hot 100 chart in 1995 was inspired by a set of twins whom Natalie Merchant knew personally that had been born with a congenital disease. The topic of the song… Read More 
Doctors have come from distant cities
Just to see me
Stand over my bed
Disbelieving what they're seeing
They say I must be one of the wonders
Of God's own creation
And as far as they can see they can offer
No explanation
Newspapers ask intimate questions
Want confessions
They reach into my head
To steal the glory of my story
They say I must be one of the wonders
Of god's own creation
And as far as they can see they can offer
No explanation

Oh, I believe
Fate smiled and destiny
Laughed as she came to my cradle
Know this child will be able
Laughed as my body she lifted
Know this child will be gifted
With love, with patience and with faith
She'll make her way
She'll make her way

People see me
I'm a challenge to your balance
I'm over your heads
How I confound you and astound you
To know I must be one of the wonders
Of God's own creation
And as far as you can see you can offer me
No explanation

Oh, I believe
Fate smiled and destiny
Laughed as she came to my cradle
Know this child will be able
Laughed as she came to my mother
Know this child will not suffer
Laughed as my body she lifted
Know this child will be gifted
With love, with patience and with faith
She'll make her way
She'll make her way

She'll make her way","female vocalists, folk, singer-songwriter, alternative, pop"
31,32,"""Not Gon' Cry""",Mary J. Blige,"14 ContributorsNot Gon’ Cry Lyrics“Not Gon' Cry” went to #2 in the US in early 1996, held from the top spot by Mariah Carey’s “One Sweet Day”. It also reached the top 40 in the UK and New Zealand. “Not Gon' Cry” was nominated for a Grammy but… Read More 
While all the time that I was loving you
You were busy loving yourself
I would stop breathing if you told me to
Now you're busy loving someone else

Eleven years out of my life
Besides the kids, I have nothing to show
Wasted my years, a fool of a wife
I should have left your ass a long time ago

Well, I'm not gon' cry, I'm not gon' cry
I'm not gon' shed no tears
No, I'm not gon' cry, it's not the time
'Cause you're not worth my tears (Can't do it)
Well, I'm not gon' cry (I said I can't do it), I'm not gon' cry
I'm not gon' shed no tears (You were never worth my tears)
No, I'm not gon' cry, it's not the time
'Cause you're not worth my tears

I was your lover and your secretary
Working every day of the week
Was at the job when no one else was there
Helping you get on your feet

Eleven years I've sacrificed
And you can leave me at the drop of a dime
Swallowed my fears, stood by your side
I should've left your ass a thousand times

Well, I'm not gon' cry, I'm not gon' cry
I'm not gon' shed no tears
(I deserve better)
No, I'm not gon' cry, it's not the time
'Cause you're not worth my tears
(Never gonna shed a tear, no)
Well, I'm not gon' cry (I said I can't do it), I'm not gon' cry
I'm not gon' shed no tears
(I'm not gonna cry no more)
No, I'm not gon' cry (No, no, no, no), it's not the time
'Cause you're not worth my tears

I know there are no guarantees (Guarantees)
In love, you take your chances (Don't take chances)
But somehow it seems unfair to me (So unfair)
Look at the circumstances
Through sickness and health, 'til death do us part
Those were the words that we said from our hearts
So now when you say that you're leaving me
I don't get that part

I was your lover and your secretary
Working every day of the week
Was at the job when no one else was there
Helping you get on your feet

Eleven years I've sacrificed
And you can leave me at the drop of a dime
Swallowed my fears, stood by your side
I should have left your ass a thousand times

Well, I'm not gon' cry (Again, and again, and again), I'm not gon' cry
(I said I should've been gone, gone, gone, gone)
I'm not gon' shed no tears
No, I'm not gon' cry (I'm not gonna cry), it's not the time (It's not worth the time)
'Cause you're not worth my tears
Well, I'm not gon' cry
(I'm not gonna shed a tear 'cause you lied)
I'm not gon' cry
I'm not gon' shed no tears (I'm not gonna cry)
No, I'm not gon' cry (I said I can't do it)
It's not the time
'Cause you're not worth my tears
(You were never worth my tears)

Well, I'm not gon' cry (No, I'm not gonna cry)
I'm not gon' cry
I'm not gon' shed no tears (All the tears I cried)
No, I'm not gon' cry
It's not the time (I'm not gonna shed a tear)
'Cause you're not worth my tears (But you're wrong)
Well, I'm not gon' cry (But you're wrong), I'm not gon' cry (You're wrong)
I'm not gon' shed no tears (I'm not gonna shed a tear)
No, I'm not gon' cry, it's not the time
'Cause you're not worth my tears","rnb, soul, female vocalists, Hip-Hop, urban"
32,33,"""Gangsta's Paradise""",Coolio featuring L.V.,"1 ContributorRap Critic Reviews: “Gangsta’s Paradise” by Coolio ft. L.V. LyricsHi. I'm the Rap Critic. Let's talk about Coolio. Now, I don't think pop music history as a whole has been very kind to Coolio, since as far as I can remember, everyone's kind of taken him to be a bit of a joke, a rapper to not be taken seriously. When you talk about the biggest names in hiphop in the 90's, the names that are often tossed around are cats like Biggie Smalls, Wu-Tang, Snoop Dogg, Ice Cube, LL Cool J, and Nas, but I almost never hear any praise for Coolio, which is interesting, because, I mean, he wasn't a bad rapper or anything, he was decent enough, and the man had multiple hits back in the day, and in fact, the song I'm reviewing today, became the first rap song to be number 1 on the billboards year-end charts, so people knew who he was, and, I think people still know who he is, he's not some obscure reference that time forgot, I just think that, well, people don't really respect Coolio as far as Hiphop is concerned, and, hey, I get it, the guy's name is a portmanteau of ""cool"" and ""yo"", his name couldn't sound like a more cheesy ""urban"" buzzword if he called himself ""nahmean-nahmsayin"", and yeah, at the height of his fame, he did rap the theme song for a kids' t.v. show, definitely not the most gangsta thing to do in hindsight, but I'll defend that move, because, hey, Kenan and Kel was a good show, and he never struck me as someone who was trying to be a super thug or anything, But hey, honestly: it was the hair, wasn't it? Yeah, it was probably the hair. I mean, few things are gonna make you look like a comical portrayal of hip hop's aggressiveness than gravity defying braids. *I refuse to bow down to any law written by a white man, and neither will my hair!* But yeah, while I think the zero G braids were cool, it's not exactly the most toned down look you could have. I mean, if the only other rapper rocking' a similar hairstyle to you is this guy:
*show ODB with hair*
You might wanna go for something different if you want to be taken seriously. It's also not helping that, despite the fact that he's currently balding, he's decided to keep his braids up, on the two little islands of hair left on his head. Dude, cut that off, man! Go out with some dignity! *looks over* Oh, what's that? He's doing soundtracks for porn websites now? …alright… And I will say that, in addition, it's not like ""Gangsta's Paradise was the only type of music he was making. His first hit was actually this:
""Fantastic Voyage""
Yeah, a lot of his stuff was actually a lot more party oriented, but with a hardcore rap slant to it. And actually, if you think about it, his first smash hit was a song that actually serves as a transitional point for what was happening in hiphop at the time. ""Fantastic Voyage"" was released in 1994, the time period in Hiphop where rap in the mainstream charts was losing it's grip on happy dance music like C+C Music factory and Kid n Play in favor of hardcore rap like 2Pac and Bone Thugz N Harmony dominating the charts. And ""Fantastic Voyage"" represented the harder edge of that party music, but a lighter side of gangsta funk, with the bouncing bass and synth sounds commonly associated with Dr. Dre's style of harsher, thugged out rap personas, while the song, indeed incorporating themes of ghetto culture, had a main message about Coolio wishing he could close his eyes and escape the dangers of his neighborhood
Come on y'all let's take a ride
Don't you say shit just get inside
Close your eyes and hit the switch
We're going to a place where everybody kick it
A Place where my kids can play outside
Without living in fear of a drive-by
And ya know, where this song encapsulated the transition of trends in mainstream rap, this happier joint wasn't the one people remembered the most. The one that topped the charts and solidified Coolio into the minds of millions was the song, ""Gangsta's Paradise"". This, in my eyes, is the quintessential song that represented Hiphop's identity as a genre and at the same time, echoed the mind set of Black culture in American Society in the 90's. In fact, I'd dare say that few songs that got this popular in the 90's really summed up the overall feel of the decade, at least as far as hiphop and it's young audience was concerned
*video starts*
You know, I actually think that, in addition to this song being good, this is quite an audacious music video here, A because it's one of the very few music videos for a song on a movie's soundtrack that actually tried to incorporate what was happening in the movie clips with what was happening in the actual video (seriously, how many music videos have you watched where they just randomly throw clips or t.v. screens in there showing parts of a movie that has absolutely nothing to do with the context of the video?), and B, because it ties so well into the movie that this is from, ""Dangerous Minds"", a movie about an upper class teacher coming into a poor neighborhood to get the hardest kids to teach interested in learning. Now, I can't tell you how good the movie is at portraying this, as I haven't seen it in a while, but I don't remember it being too terrible; however, the way they tie it into the music video itself, actually having Michelle Pfeiffer in the video for a cameo, was pretty cool. And then, she says the line:
""You wanna tell me what this is all about""

Which sets off the tone in a fitting way, as here is this person of upper class privilege coming into the darker world of poverty… *ahem* visually, but uh… I guess you could say ""ethnically"" as well, and she wants to know what this is all about, what is happening in the minds of the people of this environment. And this song and video served as a microcosmic interpretation of what was happening in the black community as gangsta rap got more popular in the homes of the people typically located outsides the confines of hip hop's culture at the time… ya know… upper class white folk
As I walk through the valley of the shadow of death
I take a look at my life and realize there's nothin' left
Cause I've been blastin' and laughin' so long
That even my momma thinks that my mind is gone
Right of the bat, we start with Coolio interpolating a quote from Psalms, chapter 23, verse 4, and where, in the original context, the verse describes being comforted by a loving God through hardships, inciting hope and faith, Coolio contrasts that with being unassured of his life's path, saying that, now that he's gone down this road, there's no way out for him, nothing left for him to do but ride out this path of destruction until his demise, and that, in addition, no one believes in his ability to be anything more than a lowlife thug
But I ain't never crossed a man that didn't deserve it
Me be treated like a punk, you know that's unheard of
You betta watch how ya talkin' and where ya walkin'
Or you and your homies might be lined in chalk
*eyes get low* I'm gonna assume that this rhyme scheme is actually a clever way to indicate that Coolio's character had a neglectful elementary school teacher, and instead focus on the content, where he defends his motives, citing that, despite everyone on the outside wanting to portray his actions as thoughtless and unjustified, that they arise from an instinct that comes from living in an environment where survival means killing any man who poses a threat
As they croak, I see myself in the pistol smoke
Now this is interesting imagery. He might be saying that he actually sees himself in the smoke, which… probably isn't likely, since smoke isn't very reflective, OR, he could be saying that he sees the smoke, the result of the fired pistol, as a part of him, he sees himself IN it, and what pistol smoke is, is an aftereffect of a violent action, which is what he embodies as what he is: an aftereffect of a violent society
Keep spending most our lives
Livin' in a gangsta's paradise
Been spending most their lives
Livin' in a gangsta's paradise
Going back to my point that this song encapsulates the 90's, we have a heavily sampled beat and chorus, which flips a Stevie Wonder song, but gives it a darker, more sinister tint

*play original*
They've been spending most their lives
Living in a pastime paradise
They've been spending most their lives
Living in a pastime paradise
You know, I really like it when a song not only uses a sample, but changes the feel of it, as Stevie Wonder's original version sounds more cerebral and contemplative, as from what I can tell from it's cryptic writing, is about people who are obsessed with the past and waste their lives reminiscing on a time that might not actually be as great as they thought it might have been, not focusing on the problems that are present in front of them, people who may be lost or insecure, and are seeking something to comfort them, similar to the psalm quoted at the beginning of Coolio's verse. Now, what do they do to flip it?
Keep spending most our lives
Livin' in a gangsta's paradise
Been spending most their lives
Livin' in a gangsta's paradise
So here, L.V., the singer, is saying that they've been surrounded by the exact type of environment that criminals thrive off of, just as dead animals attract buzzards, the environment that they have been born into, the hood, attracts criminal activity. So, when you're born into it, why WOULDN'T you get caught up in it? It doesn't matter what type of person you throw into it, either: this environment we live in invites criminals based on the way it functions. So, as you may have guessed, the word ""paradise"" is a subversion of what the word typically represents. And whereas a lesser emcee would have used the ""paradise"" angle to blast on the fleeting perks that come with that life, like maybe the rush of drugs, easy women and power, this song focuses mainly on how this paradise is in reality festering pool of negative energy that inherently drags you down
Look at the situation, they got me facing
I can't live a normal life, I was raised by the street
And I pretty much… just explained that line before it happened…
So I gotta be down with the 'hood team
Too much television watching, got me chasing dreams
And in this lyric, he throws a quick jab at television's typical portrayal of life, as frequently on t.v., we see the lives of those who live 10 times better than we may ever live, and it causes us to not be content with reality, to chase after a shallow, predetermined expectation of success
Power in the money, money in the power
Minute after minute, hour after hour
Everybody's running, but half of them ain't looking
It's goin' on in the kitchen, but I don't know what's cookin'

A lot can be said about this guy's cadence, which has gruff but ear-catching vocal inflection, so that each line rises in it's energy and pitch, that when it gets to the end of the 4th line in the couplet, you've heard this build up of tension, leading to him saying that everyone's afraid of him, scared of who he is and what he represents, and when he says that last line, it honestly comes across as a man who doesn't know what's wrong with himself, why he is the way he is, what even motivates his actions anymore. And what really cranks this song up to what it represents is broken down in the last few lines:
They say I gotta learn
But nobody's here to teach me
If they can't understand it, how can they reach me?
I guess they can't, I guess they won't
I guess they front, that's why I know my life is out of luck, foo!
This is honestly to me, one of the most important lyrics in Hiphop here. In lower class communities, our school systems keep getting their budgets gutted every year, and we have to deal with bad teachers, outdated books, and a biased educational system that doesn't care if students actually learned anything as long as they mindlessly memorize facts for tests that will never apply to their every day lives. Here, he makes it plain, in a general sense: if our own government doesn't see the value in our intelligence, and actively doesn't care about our well-being, if the ones in charge don't want to help us, and actively cut the funding for education, and has authority figures that abuse their power for their own gain at my expense, why do I need to care about what their institution wants to tell me? THAT, my friends, is what the youth of the 90's were going through in poor neighborhoods, and for the first real time in music history, you had to pay attention to the unedited words of a disenfranchised chunk of America, the people that were once glossed over are now in your face, and you had to be uncomfortable, you had to see what America's racist, classist system had done to those not lucky enough to be born in a suburban neighborhood, and FINALLY, AMERICA, YOU HAD TO LOOK YOUR PROBLEMS IN THE EYE, AND ONCE YOU DID THAT, YOU HAD NO CHOICE BUT TO… *sigh* assimilate the culture into a watered down caricature of it's former self, without really understanding it's problems, draining it of any impact, and grossly rewarded those who exploited and exaggerated the ills of it's lifestyle. Life is stupid like that…
Anyways, I give this song a 5 out of 5 stars. You know, a lot of mainstream rap songs talked about being gangsta and hardcore, but very few gave you a look into the paranoid persona, the pessimistic, self-destructive thought processes that come with it, at least very few have done it in ways that didn't come off as just trying to sound cool. I didn't feel like he enjoyed any of this. I felt like he hated this lifestyle, he hated himself, and he hated the world that put him here. This song is a lament, it is a dark evaluation of what was going on in the heart of Hiphop, and it was needed in pop culture, and… hey, this song was also parodied by Weird Al… I swear, I'm not doing this on purpose...","rap, Hip-Hop, 90s, hip hop, West Coast Rap"
33,34,"""Only You""",112 featuring The Notorious B.I.G.,"14 ContributorsOnly You Lyrics“Only You” is 112’s debut single and the lead single from their 1996 self-titled debut album. Both the original and the remix were released as singles with music videos. The original features The Notorious… Read More 
Oh, I need to know where we stand
Do we share this special thing called love?
I know I do, what about you?
I just can't get enough of your time

I need you in my life
Where do I go?
What do I do?
I can't live without your love
Thinkin' of you, makes me feel
Like I'm the only one for you

Girl, I want to (Yes, I do) be with you (Oh)
No one else, only you (Oh)
Why can't we just (Why can't we just) make it happen? (Oh)
Baby, I need you in my life

Every time I'm with you
Never want it to come to an end
Always make me so happy
You'll always have a place in my heart

I need you in my life
Where do I go?
What do I do?
'Cause I can't live without your love
Thinkin' of you, makes me feel
Like I'm the only one for you
(Check it out)

""Je-sus, The Notorious just
Please us with your lyrical thesis""
We just chillin', Milk 'em, ""Top Billin'""
Silk and pure linen, me and Little Cease (Ha)
Malibu Sea Breeze, Dom P's, palm trees
Cats named Pablo in milked out Diablos (That's right)
The williest (What?), bitches be the silliest
The more I smoke, the smaller the Phillie gets
Room 112 where the players dwell
And stash more cash than Bert Padell, inhale
Make you feel good like Tony! Toni! Toné! (Feels good)
Dig up in your middle like Monie (Yes) (Yeah)
She don't know me, but she settin' up to blow me (Yes)
She tried to style, sliding off with a homie (Yes)
Escada, Don Dada, player, stay splurgin'
Game so tight they call it virgin (Whoa-oh, yeah) (Yes)

Where do I go?
What must I do
If I can't live without your love?
Thinkin' of you, makes me feel, baby
Like I'm the only one for you

Girl, I want (Girl, I want) to be with you (Oh yeah)
No one else (I need you in my life), only you (Oh, baby)
Why can't we just (Why can't, why can't we...) make it happen? (Oh)
Baby, I need you in my life
(Oh, baby, I love you)
Girl, I want to (I need you) be with you
(Want you here with me)
No one else (Oh, oh), only you (It's only you)
Why can't we just (Why can't we...) make it happen? (Oh)
Baby, I need you in my life
(Girl, I love you)
Girl, I want to (And I need you) be with you
(Gotta have you in my life)
No one else (Oh yes, I do), only you
Why can't we just make it happen? (Oh)
Baby, I need you in my life (Oh, oh)

Girl, I want to be with you
No one else, only you",
34,35,"""Down Low (Nobody Has to Know)""",R. Kelly featuring Ronald Isley,"16 ContributorsDown Low (Nobody Has to Know) Lyrics
Listen, girl, you want me but he needs you
Yet you're telling me that everything is cool
Trying to convince me, baby, to do as you say
Just go along and see things your way

And keep it on the down low
Nobody has to know
We can keep it on the down low
Nobody has to know

Secret lovers is what you wanna be
While making love to him, girl, you're silently calling on me
What is a man to do in a situation like this?
I feel there is something that I, I don't wanna miss

And keep it on the down low
Nobody has to know
We can keep it on the down low
Nobody has to know

Beautiful you are but you're his by far
Coming by my way driving his fancy car
Making plans to be in my life forever
Tell me, tell me that we'll always be together

And keep it on the down low
Nobody has to know
We can keep it on the down low
Nobody has to know

Listen, babe, I won't whisper a word
How could you go, so low, so low
Nobody, nobody, nobody
Keep it on the down low","rnb, soul, Hip-Hop, rap, hip hop"
35,36,"""You're the One""",SWV,"9 ContributorsYou’re the One Lyrics“You’re the One” peaked at #5 on the Billboard Hot 100 and topped Billboard’s R&B chart for a week in April of 1996.
You're-the one-for-me

(You're the one for me)
You're the one (You can call on me)
Oh, yes (Is all I want us to be)
Oh, yeah (You're the one for me)

I know that you're somebody else's guy
But these feelings that I have for you I can't deny
She doesn't treat you the way you want her to
So come on stop running, I wanna get with you

What your girl don't know won't hurt her
Anything to make this love go further

You're the one (You're the one for me)
When in need (You can call on me)
When in love (Is all I want us to be)
Cause you're the one (You're the one for me)

This can be an undercover romance
Cause I feel that I'm the type of girl
You should give a chance
Taste and see (taste and see)
How good it can be (how good it can be)
Cause you don't have to worry, baby

What your girl don't know won't hurt her
Anything to make this love go further

You're the one (You're the one for me)
When in need (You can call on me)
When in love (Is all I want us to be)
Cause you're the one (You're the one for me)

So what's my chance (I'm willing to do anything to get)
In your pants (You don't have to worry, I won't)
Say a thing (And if she finds out, I don't)
Know nothing, oh no (No, no)

You're the one (You're the one for me)
When in need (You can call on me)
When in love (Is all I want us to be)
Cause you're the one (You're the one for me)

You're the one for me
When in love you need
You're the one for me
When in love you need

You're the one (You're the one for me)
When in need (You can call on me)
When in love (Is all I want us to be)
Cause you're the one (You're the one for me)","rnb, 90s, female vocalists, soul, new jack swing"
36,37,"""Sweet Dreams""",La Bouche,"9 ContributorsSweet Dreams Lyrics“Sweet Dreams” is a song recorded by La Bouche. It was originally released in March of 1994 as the lead single from their album of the same name. It was released in North America in January 1996. The song… Read More 
Sweet dreams of rhythm and dancin'
Sweet dreams of passion through the night
Sweet dreams are takin' over
Sweet dreams of dancin' through the night

I wanna get into motion, a better devotion
So I can make it through the night
So the music is playin', you know what I'm sayin'
Now everything will be alright

Sweet dreams of rhythm and dancin'
Sweet dreams of passion through the night
Sweet dreams are takin' over
Sweet dreams of dancin' through the night (Oh-oh, oh)

Ola ola eh, ola ola eh
Ola ola eh, ola ola eh

Rhythm is a creation, a better sensation
That will lead you through the night
When your body is movin', the music is groovin'
I wanna take you home tonight

Sweet dreams of rhythm and dancin'
Sweet dreams of passion through the night
Sweet dreams are takin' over
Sweet dreams of dancin' through the night (Oh-oh, oh)

Ola ola eh, ola ola eh
Ola ola eh, ola ola eh

Keep dancin' hard
Give this groove more feeling
Dance, trance, dance, more dealing
In, out, up, down, all around
On the dance floor gettin' down
Take time just to show them who
We can make your body move
Totally, yes, the party's started
Sweet dreams keep comin' harder

Sweet dreams of rhythm and dancin'
Sweet dreams of passion through the night
Sweet dreams are takin' over
Sweet dreams of dancin' through the night
Sweet dreams of rhythm and dancin'
Sweet dreams of passion through the night
Sweet dreams are takin' over
Sweet dreams of dancin' through the night (Oh-oh, oh)

Ola ola eh, ola ola eh
Ola ola eh, ola ola eh...","eurodance, dance, 90s, pop, female vocalists"
37,38,"""Before You Walk Out of My Life"" / ""Like This and Like That""",Monica,,"rnb, soul, female vocalists, pop, urban"
38,39,"""Breakfast at Tiffany's""",Deep Blue Something,"35 ContributorsBreakfast at Tiffany’s Lyrics“Breakfast at Tiffany’s” originally appeared on the album 11th Song and was re-recorded for Home. Although the song’s lyrics are inspired by the Audrey Hepburn film “Roman Holiday”, Todd Pipes thought one of… Read More 
You say that we've got nothing in common
No common ground to start from
And we're falling apart
You'll say the world has come between us
Our lives have come between us
Still, I know you just don't care

And I said, ""What about Breakfast at Tiffany's?""
She said, ""I think I remember that film and
As I recall, I think we both kinda liked it""
And I said, ""Well, that's the one thing we've got""

I see you, the only one who knew me
And now your eyes see through me
I guess I was wrong
So what now? It's plain to see we're over
And I hate when things are over
When so much is left undone

And I said, ""What about Breakfast at Tiffany's?""
She said, ""I think I remember that film and
As I recall, I think we both kinda liked it""
And I said, ""Well, that's the one thing we've got""

You say that we've got nothing in common
No common ground to start from
And we're falling apart
You'll say the world has come between us
Our lives have come between us
Still, I know you just don't care

And I said, ""What about Breakfast at Tiffany's?""
She said, ""I think I remember that film and
As I recall, I think we both kinda liked it""
And I said, ""Well, that's the one thing we've got""


Ooh, and I said, ""What about Breakfast at Tiffany's?""
She said, ""I think I remember that film and
As I recall, I think we both kinda liked it""
And I said, ""Well, that's the one thing we've got""
And I said, ""What about Breakfast at Tiffany's?""
She said, ""I think I remember that film and
As I recall, I think we both kinda liked it""
And I said, ""Well, that's the one thing we've got""","rock, alternative rock, 90s, pop, alternative"
